COOPID, YEAR, MONTH, DAY, maxTemp
88788,2016,1,1,81.00000
88788,2016,1,2,73.00000
88788,2016,1,3,61.00000
88788,2016,1,4,66.00000
88788,2016,1,5,68.00000
88788,2016,1,6,67.00000
88788,2016,1,7,72.00000
88788,2016,1,8,76.00000
88788,2016,1,9,78.00000
88788,2016,1,10,72.00000
88788,2016,1,11,60.00000
88788,2016,1,12,67.00000
88788,2016,1,13,61.00000
88788,2016,1,14,69.00000
88788,2016,1,15,73.00000
88788,2016,1,16,75.00000
88788,2016,1,17,68.00000
88788,2016,1,18,62.00000
88788,2016,1,19,59.00000
88788,2016,1,20,66.00000
88788,2016,1,21,71.00000
88788,2016,1,22,71.00000
88788,2016,1,23,60.00000
88788,2016,1,24,56.00000
88788,2016,1,25,66.00000
88788,2016,1,26,77.00000
88788,2016,1,27,68.00000
88788,2016,1,28,67.00000
88788,2016,1,29,65.00000
88788,2016,1,30,68.00000
88788,2016,1,31,73.00000
88788,2016,2,1,78.00000
88788,2016,2,2,82.00000
88788,2016,2,3,84.00000
88788,2016,2,4,77.00000
88788,2016,2,5,64.00000
88788,2016,2,6,59.00000
88788,2016,2,7,58.00000
88788,2016,2,8,66.00000
88788,2016,2,9,62.00000
88788,2016,2,10,58.00000
88788,2016,2,11,66.00000
88788,2016,2,12,70.00000
88788,2016,2,13,72.00000
88788,2016,2,14,72.00000
88788,2016,2,15,74.00000
88788,2016,2,16,71.00000
88788,2016,2,17,75.00000
88788,2016,2,18,74.00000
88788,2016,2,19,76.00000
88788,2016,2,20,78.00000
88788,2016,2,21,76.00000
88788,2016,2,22,78.00000
88788,2016,2,23,80.00000
88788,2016,2,24,75.00000
88788,2016,2,25,64.00000
88788,2016,2,26,62.00000
88788,2016,2,27,66.00000
88788,2016,2,28,72.00000
88788,2016,2,29,74.00000
88788,2016,3,1,77.00000
88788,2016,3,2,76.00000
88788,2016,3,3,75.00000
88788,2016,3,4,76.00000
88788,2016,3,5,72.00000
88788,2016,3,6,78.00000
88788,2016,3,7,80.00000
88788,2016,3,8,81.00000
88788,2016,3,9,82.00000
88788,2016,3,10,85.00000
88788,2016,3,11,85.00000
88788,2016,3,12,85.00000
